Title,Director,Cast,Genre
The Vendor,Odunlade Adekola,Odunlade AdekolaAdunni AdeJide KosokoEniola Ajao,Drama
Ehi's Bitters,Biodun Stephen,Fathia BalogunDeyemi OkanlawonEnado OdigieDebby Felix,Drama
King of Boys,Kemi Adetiba,Adesua EtomiOmoni OboliJide Kosoko Sola SobowaleOsas Ighodaro,Romantic Drama
New Money,Tope Oshin Ogun,Kate HenshawDakore AkandeJemima OsundeBlossom ChukwujekwuOsas Ighodaro,Comedy Drama
Lionheart,Genevieve Nnaji,Genevieve NnajiNkem OwohPete EdochieKanayo O. Kanayo,Action Drama
Boss of All Bosses,Ike Nnaebue,Patience Ozokwor Adunni AdeAkpororoBishop Imeh,Comedy
Ghost and the Tout,Charles Uwagbai,Toyin Abraham Rachael OkonkwoLasisi ElenuOmowunmi Dada,Ghost Comedy
What Just Happened,Charles Uwagbai,Ufuoma McDermottOmoni OboliToyin AbrahamMike Ezuruonye,Comedy Drama
Sylvia,Daniel Orhiari,Chris AttohZainab Balogun Ini Dima-Okojie Ijeoma Grace Agu Bolaji Ogunmola,Thriller Drama
Merry Men: The Real Yoruba Demons,Toka Mcbaror,Ayo MakunFolarin FalanaRamsey NouahOsas IghodaroLilian Esoro,Romantic Comedy
Chief Daddy,Niyi Akinmolayan,Joke Silva Kate Henshaw Funke Akindele Folarin Falana (Falz) Mawuli Gavor,Comedy Drama
Up North,Tope Oshin Ogun,Rahama Sadau Kanayo O. Kanayo Adesua Etomi Banky Wellington,Romantic Drama
