Title,Director,Cast,Genre,Combined
Elephant in the Room,Asurf Oluseyi,Ramsey Nouah Zainab Sheriff,Romance Comedy,Ramsey Nouah Zainab Sheriff Asurf Oluseyi Romance Comedy
Beyond Blood,Greg Odutayo,Kehinde Bankole Joseph Benjamin Bimbo Manuel Carol King Shan George,Romance Drama,Kehinde Bankole Joseph Benjamin Bimbo Manuel Carol King Shan George Greg Odutayo Romance Drama
Love is in the Hair,Ansa Kpokpogri,Uti Nwachukwu Bishop Ime Toyin Aimakhu Okey Bakassi,Romance Comedy,Uti Nwachukwu Bishop Ime Toyin Aimakhu Okey Bakassi Ansa Kpokpogri Romance Comedy
Couple of Days,Lord Tanner,Lilian Esoro Kiki Omeili Adesua Etomi Ademola Adedoyin,Romance Comedy,Lilian Esoro Kiki Omeili Adesua Etomi Ademola Adedoyin Lord Tanner Romance Comedy
Suru L'ere,Mildred Okwo,Beverly Naya Seun Akindele Kemi Lala Tope Tedela,Comedy Drama,Beverly Naya Seun Akindele Kemi Lala Tope Tedela Mildred Okwo Comedy Drama
93 Days,Steve Gukas,Bimbo Akintola Danny Glover Bimbo Manuel Tim Reid,Documentary Drama,Bimbo Akintola Danny Glover Bimbo Manuel Tim Reid Steve Gukas Documentary Drama
The CEO,Kunle Afolayan,Kemi Lala Akindoju Hilda Dokubo Jimmy Jean-Louis,Drama,Kemi Lala Akindoju Hilda Dokubo Jimmy Jean-Louis Kunle Afolayan Drama
Ghana Must Go,Frank Rajah Arase,Yvonne Okoro Blossom Chukwujekwu Nkem Owoh Ik Ogbonna Ada Ameh,Drama,Yvonne Okoro Blossom Chukwujekwu Nkem Owoh Ik Ogbonna Ada Ameh Frank Rajah Arase Drama
The Wedding Party,Kemi Adetiba,Adesua Etomi Banky Wellington Richard Mofe Damijo Sola Sobowale Iretiola Doyle Alibaba Akporobrome Zainab Balogun Beverly Naya,Romance Comedy Drama,Adesua Etomi Banky Wellington Richard Mofe Damijo Sola Sobowale Iretiola Doyle Alibaba Akporobrome Zainab Balogun Beverly Naya Kemi Adetiba Romance Comedy Drama
The Royal Hibiscus Hotel,Ishaya Bako,Zainab Balogun Kenneth Okolie Deyemi Okanlawon Joke Silva Olu Jacobs Jide Kosoko,Romance Comedy,Zainab Balogun Kenneth Okolie Deyemi Okanlawon Joke Silva Olu Jacobs Jide Kosoko Ishaya Bako Romance Comedy
American Driver,Moses Inwang,Evan King Jim Iyke Nse Ikpe Etim Ayo Makun Emma Nyra Nadia Buari,Comedy,Evan King Jim Iyke Nse Ikpe Etim Ayo Makun Emma Nyra Nadia Buari Moses Inwang Comedy
Sudani from Nigeria,Zakariya,Soubin Shahir Samuel Abiola Robinson,Comedy Drama Family,Soubin Shahir Samuel Abiola Robinson Zakariya Comedy Drama Family
Sobi's Mystic,Biodun Stephen,Bolaji Ogunmola Kunle Remi Mofe Duncan,Drama,Bolaji Ogunmola Kunle Remi Mofe Duncan Biodun Stephen Drama
Lotanna,Toka McBaror,Liz Benson Victor Olaotan Chris Okagbue Ama Abebrese,Drama,Liz Benson Victor Olaotan Chris Okagbue Ama Abebrese Toka McBaror Drama
Isoken,Jadesola Osiberu,Dakore Akande Joseph Benjamin Funke Akindele Marc Rhys,Romance Comedy Drama,Dakore Akande Joseph Benjamin Funke Akindele Marc Rhys Jadesola Osiberu Romance Comedy Drama
10 Days in Sun City,Adze Ugha,Ayo Makun Adesuwa Etomi Richard Mofe-Damijo Mercy Johnson 2Baba,Romance Action Comedy,Ayo Makun Adesuwa Etomi Richard Mofe-Damijo Mercy Johnson 2Baba Adze Ugha Romance Action Comedy
Christmas Is Coming,Ufuoma McDermott,Chioma Chukwuka Deyemi Okanlawon Zack Orji Mary Lazarus,Romance Comedy,Chioma Chukwuka Deyemi Okanlawon Zack Orji Mary Lazarus Ufuoma McDermott Romance Comedy
The Wedding Party 2,Niyi Akinmolayan,Sola Sobowale Patience Ozokwor Adesua Etomi Banky Wellington,Romance Comedy,Sola Sobowale Patience Ozokwor Adesua Etomi Banky Wellington Niyi Akinmolayan Romance Comedy
The Vendor,Odunlade Adekola,Odunlade AdekolaAdunni AdeJide KosokoEniola Ajao,Drama,Odunlade AdekolaAdunni AdeJide KosokoEniola Ajao Odunlade Adekola Drama
Ehi's Bitters,Biodun Stephen,Fathia BalogunDeyemi OkanlawonEnado OdigieDebby Felix,Drama,Fathia BalogunDeyemi OkanlawonEnado OdigieDebby Felix Biodun Stephen Drama
King of Boys,Kemi Adetiba,Adesua EtomiOmoni OboliJide Kosoko Sola SobowaleOsas Ighodaro,Romantic Drama,Adesua EtomiOmoni OboliJide Kosoko Sola SobowaleOsas Ighodaro Kemi Adetiba Romantic Drama
New Money,Tope Oshin Ogun,Kate HenshawDakore AkandeJemima OsundeBlossom ChukwujekwuOsas Ighodaro,Comedy Drama,Kate HenshawDakore AkandeJemima OsundeBlossom ChukwujekwuOsas Ighodaro Tope Oshin Ogun Comedy Drama
Lionheart,Genevieve Nnaji,Genevieve NnajiNkem OwohPete EdochieKanayo O. Kanayo,Action Drama,Genevieve NnajiNkem OwohPete EdochieKanayo O. Kanayo Genevieve Nnaji Action Drama
Boss of All Bosses,Ike Nnaebue,Patience Ozokwor Adunni AdeAkpororoBishop Imeh,Comedy,Patience Ozokwor Adunni AdeAkpororoBishop Imeh Ike Nnaebue Comedy
Ghost and the Tout,Charles Uwagbai,Toyin Abraham Rachael OkonkwoLasisi ElenuOmowunmi Dada,Ghost Comedy,Toyin Abraham Rachael OkonkwoLasisi ElenuOmowunmi Dada Charles Uwagbai Ghost Comedy
What Just Happened,Charles Uwagbai,Ufuoma McDermottOmoni OboliToyin AbrahamMike Ezuruonye,Comedy Drama,Ufuoma McDermottOmoni OboliToyin AbrahamMike Ezuruonye Charles Uwagbai Comedy Drama
Sylvia,Daniel Orhiari,Chris AttohZainab Balogun Ini Dima-Okojie Ijeoma Grace Agu Bolaji Ogunmola,Thriller Drama,Chris AttohZainab Balogun Ini Dima-Okojie Ijeoma Grace Agu Bolaji Ogunmola Daniel Orhiari Thriller Drama
Merry Men: The Real Yoruba Demons,Toka Mcbaror,Ayo MakunFolarin FalanaRamsey NouahOsas IghodaroLilian Esoro,Romantic Comedy,Ayo MakunFolarin FalanaRamsey NouahOsas IghodaroLilian Esoro Toka Mcbaror Romantic Comedy
Chief Daddy,Niyi Akinmolayan,Joke Silva Kate Henshaw Funke Akindele Folarin Falana (Falz) Mawuli Gavor,Comedy Drama,Joke Silva Kate Henshaw Funke Akindele Folarin Falana (Falz) Mawuli Gavor Niyi Akinmolayan Comedy Drama
Up North,Tope Oshin Ogun,Rahama Sadau Kanayo O. Kanayo Adesua Etomi Banky Wellington,Romantic Drama,Rahama Sadau Kanayo O. Kanayo Adesua Etomi Banky Wellington Tope Oshin Ogun Romantic Drama
Levi,Okechukwu Oku,Lydia ForsonNancy Isime Benjamin Joseph Ramsey Nouah,Drama,Lydia ForsonNancy Isime Benjamin Joseph Ramsey Nouah Okechukwu Oku Drama
Let Karma,Biodun Stephen,Evelyn Bada Blossom Chukwujekwu Chucks Chyke Daniel K. Daniel,Drama,Evelyn Bada Blossom Chukwujekwu Chucks Chyke Daniel K. Daniel Biodun Stephen Drama
Obey,Martinz Nnaji Jr.,Jibola Dabo Debby Felix Anthony Monjaro,Drama,Jibola Dabo Debby Felix Anthony Monjaro Martinz Nnaji Jr. Drama
Loving Daniella,Ike Nnaebue,Blossom Chukwujekwu Theresa Edem Alexx Ekubo,Romance Drama,Blossom Chukwujekwu Theresa Edem Alexx Ekubo Ike Nnaebue Romance Drama
Chains,Andrew Osawuru,Josephine Agbonmwanre Sharon Eronmwansuyi Calistra Akenobo Edgar Ogbeifun Success Akpojotor,Drama,Josephine Agbonmwanre Sharon Eronmwansuyi Calistra Akenobo Edgar Ogbeifun Success Akpojotor Andrew Osawuru Drama
Kuvana,Edward Uka,Ifeanyi Kalu Sambasa Nzeribe Wale Ojo Emmanuel Okhakhu,Drama,Ifeanyi Kalu Sambasa Nzeribe Wale Ojo Emmanuel Okhakhu Edward Uka Drama
Nimbe,Tope Alake,Doyin Abiola Toyin Abraham Odunlade Adekola Bukola Beecraft-Shofola,Drama Action Crime,Doyin Abiola Toyin Abraham Odunlade Adekola Bukola Beecraft-Shofola Tope Alake Drama Action Crime
Blood & Oil,Curtis Graham,Michael Douglas Cake Alket Kellichi William R. Moses,Action Thriller,Michael Douglas Cake Alket Kellichi William R. Moses Curtis Graham Action Thriller
Bling Lagosians,Bolanle Austen-Peters,Bunmi Aboderin Toyin Abraham Tana Adelana Osas Ighodaro Ajibade,Drama,Bunmi Aboderin Toyin Abraham Tana Adelana Osas Ighodaro Ajibade Bolanle Austen-Peters Drama
Coming From Insanity,Akinyemi Sebastian Akinropo,Gabriel Afolayan Damilola Adegbite Bolanle Ninalowo Wale Ojo,Crime Drama,Gabriel Afolayan Damilola Adegbite Bolanle Ninalowo Wale Ojo Akinyemi Sebastian Akinropo Crime Drama
Love is War,Omoni Oboli,Richard Mofe Damijo Shaffy Bello William BensonYemi Blaq,Drama,Richard Mofe Damijo Shaffy Bello William BensonYemi Blaq Omoni Oboli Drama
Three Thieves,Udoka Oyeka,Shawn Faqua Koye Kekere-EkunFrank Donga,Crime Comedy,Shawn Faqua Koye Kekere-EkunFrank Donga Udoka Oyeka Crime Comedy
Elevator Baby,Akay Mason,Toyin Abraham Timini Egbuson Sambasa Nzeribe Samuel Olatunji Emem Ufot Shafy Bello,Drama Comedy,Toyin Abraham Timini Egbuson Sambasa Nzeribe Samuel Olatunji Emem Ufot Shafy Bello Akay Mason Drama Comedy
